,fuelPrice,latitude,longitude
0,1.46,32.3717248,-112.8607099
1,1.69,32.2650122,-112.7378713
2,1.63,35.223604,-112.479219
3,1.8,33.591985,-111.706905
4,1.42,36.945542,-112.5265889
5,1.75,36.9032917,-112.7545314
6,1.75,32.9450589,-112.7273735
7,1.96,33.3214917,-111.8062561
8,1.85,33.3782535,-111.807992
9,1.45,33.3216335,-111.7906149
10,1.62,33.3457692,-111.8311728
11,1.81,33.3362969,-111.756497
12,1.68,33.596711,-112.151771
13,2.08,35.2234603,-112.4788574
14,1.37,33.6387241,-112.2286098
15,1.56,33.5096922,-112.2027823
16,1.66,33.6693828,-112.1861293
17,1.56,33.5388205,-112.1770358
18,2.02,33.5382155,-112.1689792
19,1.98,33.538809,-112.187009
20,1.48,33.5383008,-112.2207786
21,1.78,33.5388621,-112.1767306
22,1.61,33.6691138,-112.2024982
23,1.71,33.5526933,-112.1520547
24,1.78,35.2186363,-112.4898978
25,1.39,33.6111878,-112.1540738
26,1.87,33.5672273,-112.1686498
27,1.74,33.6113865,-112.1865384
28,1.88,33.610036,-112.2021127
29,1.76,33.655038,-112.152428
30,1.72,33.5672269,-112.186746
31,2.23,33.4198166,-110.8121405
32,1.83,33.3921271,-110.7661992
33,1.55,35.2224137,-114.2120431
34,1.68,35.219419,-114.153245
35,1.83,35.2250114,-112.4840675
36,1.85,33.4479315,-112.3582713
37,1.8,33.4504967,-112.3573838
38,1.86,33.4519237,-112.3587814
39,1.81,35.8095084,-111.6317919
40,1.53,31.8700535,-110.9913311
41,1.99,31.8517718,-110.9916696
42,1.71,31.8276968,-111.0130235
43,1.86,31.8699999,-110.9891977
44,1.87,31.8542511,-110.9937019
45,2.0,31.9016843,-110.986393
46,1.24,33.4602569,-112.3404226
47,1.82,34.9311168,-110.1384987
48,1.62,34.910604,-110.1578043
49,1.4,34.9067238,-110.1583362
50,1.93,34.9072322,-110.1580723
51,1.85,34.9148924,-110.1548285
52,1.46,34.908335,-110.1580316
53,1.72,31.6922314,-110.3496012
54,1.63,31.62303,-110.336124
55,1.59,35.2138968,-114.0351696
56,1.69,35.2145232,-114.0139249
57,1.82,33.4421129,-112.3071488
58,1.58,35.1913191,-114.0689393
59,1.97,35.1894102,-114.0601332
60,1.89,35.2159591,-114.0125469
61,1.76,35.2253857,-114.0030755
62,1.73,35.1913855,-114.0692015
63,1.68,35.1913855,-114.0692015
64,1.4,35.1910961,-114.064971
65,1.76,35.1950706,-114.0321248
66,1.58,35.2351673,-114.0376698
67,1.59,35.1775196,-113.790307
68,1.4,33.4931581,-112.2896653
69,1.84,35.2204388,-114.0083773
70,1.77,35.2294897,-113.9991587
71,1.74,35.1926488,-114.0703064
72,1.92,35.1950132,-114.0742048
73,1.94,35.2186928,-114.0084679
74,1.94,34.493981,-114.351857
75,1.63,34.5364332,-114.352485
76,1.84,34.4550714,-114.2981291
77,1.54,34.4752129,-114.322573
78,1.85,34.4977737,-114.2834947
79,1.73,33.4327333,-112.3063729
80,1.63,34.5175539,-114.347834
81,1.71,34.483087,-114.350242
82,1.94,34.4753094,-114.3454653
83,1.77,34.4939359,-114.3481755
84,1.48,34.5034284,-114.3502776
85,1.73,34.4958272,-114.3430475
86,1.61,34.4768911,-114.3469085
87,1.7,34.726846,-114.315147
88,1.75,34.4677256,-114.3402028
89,2.0,34.170012,-110.0005866
90,1.64,33.4331911,-112.3423578
91,1.78,32.4603371,-111.2165665
92,1.5,33.0644204,-112.2362467
93,1.96,33.4514784,-111.8149081
94,1.89,33.436891,-111.702334
95,1.77,33.4077802,-111.7888945
96,1.7,33.4087888,-111.8402992
97,1.65,33.435194,-111.823191
98,1.54,33.4368735,-111.719548
99,1.89,33.4071016,-111.8741054
100,1.67,33.4513843,-111.7871951
101,1.55,31.9765,-110.306546
102,1.64,33.451332,-111.719386
103,1.33,33.4329528,-111.8449346
104,1.74,33.3791776,-111.860227
105,1.69,33.4367861,-111.7884164
106,1.65,33.4232651,-111.7368551
107,1.43,33.4365429,-111.6321178
108,1.7,33.416098,-111.695722
109,1.64,33.437553,-111.787434
110,1.62,33.3933482,-111.7200889
111,1.58,33.4521143,-111.8130347
112,1.85,32.2650122,-112.7378713
113,1.84,31.9703565,-110.3071959
114,1.88,33.4514748,-111.8230889
115,1.58,33.4224251,-111.6596795
116,1.86,33.3788438,-111.8771821
117,1.58,33.393765,-111.848284
118,1.54,33.3787412,-111.6888577
119,1.87,33.3931773,-111.6838524
120,1.31,33.4657988,-111.7007273
121,1.53,33.4375228,-111.6838574
122,1.78,33.3939189,-111.597202
123,1.87,33.3794251,-111.8067367
124,1.81,31.9623514,-110.3446992
125,1.94,33.4145968,-111.6332266
126,1.64,33.3819132,-111.8396692
127,1.98,33.392898,-111.822382
128,2.1,33.4082503,-111.8023447
129,1.55,33.4300565,-111.8402495
130,1.58,33.41579,-111.632181
131,1.8,33.407729,-111.754347
132,1.85,33.3797175,-111.7532266
133,1.8,33.3934074,-111.7531337
134,1.57,34.8658572,-114.5981981
135,1.53,31.397487,-109.92893
136,1.9,34.854904,-114.606366
137,1.68,33.0508859,-109.3280282
138,1.52,34.945574,-111.6401551
139,1.85,34.94134,-111.651338
140,1.34,33.903349,-112.144244
141,1.61,31.3388297,-110.9667489
142,2.01,31.3348098,-110.9423498
143,1.71,31.3403775,-110.9342532
144,1.91,31.362262,-110.9073166
145,1.68,31.3374108,-110.9396457
146,1.36,31.4294896,-109.8924331
147,1.51,36.8990515,-111.453221
148,1.75,36.9044111,-111.4838434
149,1.84,36.9177291,-111.4580059
150,1.89,36.9109177,-111.4561785
151,1.93,36.902189,-111.4715745
152,1.47,36.9145353,-111.4553166
153,2.09,31.379067,-110.148859
154,1.3,33.5309338,-111.9268332
155,1.65,33.5365693,-111.9713269
156,1.77,34.1519758,-114.2854805
157,1.98,31.4481547,-109.9284084
158,1.47,34.154094,-114.2811818
159,1.67,34.1540807,-114.280544
160,1.55,34.1493682,-114.2885068
161,1.45,34.1520531,-114.2852298
162,1.93,34.2308684,-111.3251355
163,1.92,33.6094777,-112.237
164,1.76,33.6382209,-112.2464014
165,1.79,33.6375282,-112.2196046
166,1.89,33.589708,-112.217906
167,1.72,33.6963065,-112.25507
168,1.48,34.0668081,-112.1510453
169,1.61,33.5812961,-112.20338
170,1.72,33.5666662,-112.2546274
171,1.73,33.6842571,-112.1091408
172,1.74,33.4655884,-112.1686316
173,1.92,33.4660406,-112.0118669
174,2.1,33.654655,-112.014121
175,1.4,33.4802036,-112.013363
176,1.84,33.5820901,-112.0135735
177,1.64,33.4298236,-112.0646366
178,1.62,33.4659459,-112.2373371
179,1.82,34.0592821,-112.146479
180,1.57,33.494717,-112.254584
181,1.62,33.4571283,-112.0472693
182,1.97,33.870542,-112.149593
183,1.65,33.567852,-112.082172
184,1.65,33.6409902,-112.0313919
185,1.89,33.6400952,-112.0303588
186,1.8,33.6403761,-112.1124263
187,1.99,33.5238954,-112.1000198
188,1.26,33.4951389,-112.2038804
189,1.65,33.4509309,-112.1129004
190,1.79,33.3701888,-112.5845055
191,1.72,33.5386238,-112.0471398
192,2.04,33.406159,-112.130741
193,2.26,33.4951569,-112.0642612
194,1.71,33.5089084,-112.0646142
195,1.74,33.5099476,-111.9962856
196,1.65,33.6118569,-111.9774863
197,1.9,33.5670453,-112.115254
198,1.77,33.5235173,-112.0820591
199,1.92,33.596768,-112.1203929
200,1.38,33.4476974,-112.1712275
201,1.45,33.3702667,-112.5901795
202,1.6,33.683288,-112.1089771
203,1.9,33.669927,-112.0314798
204,1.48,33.5091421,-112.1346084
205,2.01,33.4953428,-112.1173998
206,1.71,33.5679457,-112.1182863
207,1.53,33.451068,-112.029547
208,1.55,33.5243978,-112.1132647
209,1.72,33.5386063,-112.0984908
210,1.84,33.4075689,-112.0130332
211,1.93,33.3051198,-111.9971735
212,1.63,33.3758123,-112.5907541
213,1.72,33.348564,-111.97555
214,1.74,33.4948193,-112.2032469
215,1.7,33.5823594,-112.133586
216,1.36,33.5184969,-112.099959
217,1.68,33.4509029,-111.9866909
218,1.67,33.5383031,-112.0742269
219,1.56,33.378092,-112.046961
220,1.74,33.495351,-112.2062911
221,1.91,33.5385319,-112.1132329
222,1.72,33.4942701,-112.2908005
223,1.83,32.3749837,-112.8725611
224,1.46,35.107712,-114.597526
225,1.69,33.4663835,-112.1513973
226,1.55,33.4954264,-111.9950457
227,1.69,33.567245,-112.082914
228,1.69,33.5095588,-112.0451024
229,1.55,33.4903685,-112.0480246
230,1.8,33.4808841,-112.1694391
231,1.98,33.567834,-112.151244
232,1.64,33.3059769,-111.9895616
233,1.69,33.6110289,-112.1030262
234,1.55,33.6073496,-112.0656425
235,1.96,35.126185,-114.577127
236,1.55,33.4107616,-112.0643465
237,1.83,33.6256581,-111.9783942
238,1.67,33.4932418,-112.0999293
239,1.64,33.3969187,-112.073418
240,1.71,33.4803572,-112.2371295
241,1.85,33.6482427,-111.9264449
242,1.87,33.494581,-112.0178848
243,1.68,33.4969097,-112.1348585
244,1.66,33.4946246,-112.1173823
245,1.65,33.36662,-112.073631
246,1.82,35.11119,-114.597661
247,1.73,33.4955572,-112.1756299
248,1.77,33.4655686,-112.2028917
249,1.61,33.44784,-112.016769
250,1.48,33.494929,-112.226401
251,1.69,33.4955451,-112.0125979
252,1.48,33.5382582,-112.0650332
253,1.5,33.6772484,-112.0306585
254,1.85,33.531315,-112.047798
255,1.52,33.4951589,-112.2211073
256,1.56,33.6264244,-112.015155
257,2.1,35.1900665,-114.5278127
258,1.8,33.5533163,-112.099938
259,1.71,33.391816,-112.09874
260,1.91,33.4148538,-111.9958003
261,1.84,33.442303,-112.0957197
262,1.77,33.6539394,-112.082139
263,1.93,33.611181,-112.1204356
264,2.02,33.610417,-112.134299
